"alg" "n" "p" "runtime"
"1" "original" 50 10 0.00837287902832031
"2" "original" 100 10 0.0134854316711426
"3" "original" 500 10 0.0234601497650146
"4" "original" 1000 10 0.0268917083740234
"5" "original" 10000 10 0.0643449783325195
"6" "original" 20000 10 0.0727244138717651
"7" "original" 50 100 0.13988950252533
"8" "original" 100 100 0.24971194267273
"9" "original" 500 100 0.859048104286194
"10" "original" 1000 100 1.42394561767578
"11" "original" 10000 100 5.00438320636749
"12" "original" 20000 100 6.70754864215851
"13" "stable" 50 10 0.0105638742446899
"14" "stable" 100 10 0.0173435688018799
"15" "stable" 500 10 0.0309847116470337
"16" "stable" 1000 10 0.034725284576416
"17" "stable" 10000 10 0.0830167531967163
"18" "stable" 20000 10 0.0953057289123535
"19" "stable" 50 100 0.186288094520569
"20" "stable" 100 100 0.368409705162048
"21" "stable" 500 100 1.7315750837326
"22" "stable" 1000 100 3.0423002243042
"23" "stable" 10000 100 12.9196178197861
"24" "stable" 20000 100 18.3512210607529
"25" "parallel" 50 10 0.0130480289459229
"26" "parallel" 100 10 0.0156115293502808
"27" "parallel" 500 10 0.0300336360931396
"28" "parallel" 1000 10 0.0357140302658081
"29" "parallel" 10000 10 0.0800106525421143
"30" "parallel" 20000 10 0.111487555503845
"31" "parallel" 50 100 0.216703510284424
"32" "parallel" 100 100 0.367118954658508
"33" "parallel" 500 100 1.01986880302429
"34" "parallel" 1000 100 1.45237016677856
"35" "parallel" 10000 100 4.66118223667145
"36" "parallel" 20000 100 7.05223581790924
