"alg" "p" "runtime" "runtime_citests"
"1" "original" 10 0.0298721075057983 4.69613386351177e-05
"2" "original" 100 1.37647960186005 2.8943359368936e-05
"3" "original" 250 5.70622222423553 2.95448694543293e-05
"4" "original" 500 12.4388207912445 2.80969953044759e-05
"5" "stable" 10 0.0570108652114868 6.52746338578965e-05
"6" "stable" 100 2.95906665325165 2.77726416382359e-05
"7" "stable" 250 11.9684058427811 2.71601327887143e-05
"8" "stable" 500 23.1637581825256 2.50324317131559e-05
"9" "parallel" 10 0.0392850637435913 4.49794638694657e-05
"10" "parallel" 100 1.49518015384674 1.40331758163531e-05
"11" "parallel" 250 5.09019162654877 1.15512694266174e-05
"12" "parallel" 500 11.6885984420776 1.26315445023311e-05
